name,price,rating,reviews,availability,image_url
"SGIN 17.3 Inch Laptop Computer, Windows 11 Laptops with Celeron I3 Processor, 4GB DDR3 128GB SSD, 60800mWh Battery, FHD IPS Display, HDMI, Type-C, Numpad, 5G WiFi, BT4.2, for Business and Students",N/A,5.0 out of 5 stars,30,Check Product Page,https://m.media-amazon.com/images/I/71A-uD9z8CL._AC_UY218_.jpg
"Lenovo V-Series V15 Business Laptop, 15.6"" FHD Display, AMD Ryzen 7 7730U, 40GB RAM, 1TB SSD, Numeric Keypad, HDMI, RJ45, Webcam, Wi-Fi, Windows 11 Pro, Black",N/A,4.2 out of 5 stars,283,Check Product Page,https://m.media-amazon.com/images/I/71TN6dLVcsL._AC_UY218_.jpg
"Dell Inspiron Touchscreen Laptop, 15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop 32GB RAM 1TB SSD, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, HDMI, Carbon Black",N/A,4.2 out of 5 stars,539,Check Product Page,https://m.media-amazon.com/images/I/61Wc1fDGJuL._AC_UY218_.jpg
"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",N/A,4.3 out of 5 stars,"2,097",Check Product Page,https://m.media-amazon.com/images/I/71tXLOE7wIL._AC_UY218_.jpg
"Laptop 15.6 Inch Win 11 Laptop Computer 32GB RAM 1TB SSD, in-tel Celeron N5095 Processor(Up to 2.9 GHz), 1080P FHD Display, Backlit Keyboard, Fingerprint,Gaming Laptops for Business, Student",N/A,5.0 out of 5 stars,2,Check Product Page,https://m.media-amazon.com/images/I/61yKJg9W09L._AC_UY218_.jpg
"HP 14"" Ultra Light Laptop for Student & Home (Intel Quad-Core N4120, 4GB RAM, 128GB(64GB + 64GB SD), 1-Year Office 365) 11-Hr Long Battery Life, Webcam, WiFi, Win 11 Home in S Mode - Snow White",N/A,4.4 out of 5 stars,49,Check Product Page,https://m.media-amazon.com/images/I/81qzTdQkqJL._AC_UY218_.jpg
"HP Portable Laptop (Include 1 Year Microsoft 365), 14’’ HD Display, 16GB RAM, 64GB eMMC, Intel Quad-Core N4120, Student and Business, Webcam, HDMI, Wi-Fi, RJ-45, Windows 11 Home, Pink",N/A,4.1 out of 5 stars,"2,963",Check Product Page,https://m.media-amazon.com/images/I/61DVg3ECW-L._AC_UY218_.jpg
"ASUS 14"" FHD Laptop, Intel Pentium N6000 Processor, 4GB RAM, 224GB Storage(64GB eMMC+160GB Docking Station Set), Intel UHD Graphics, Webcam, Bluetooth, Win 11, Star Black",N/A,4.4 out of 5 stars,"2,877",Check Product Page,https://m.media-amazon.com/images/I/81kEod68yLL._AC_UY218_.jpg
"Lenovo IdeaPad 1i Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1235U Processor, 16GB RAM, 512GB SSD, Webcam, HDMI, Wi-Fi 6, Windows 11 Home, Blue",N/A,4.2 out of 5 stars,53,Check Product Page,https://m.media-amazon.com/images/I/71PCVp1dbdL._AC_UY218_.jpg
"Laptop 16-inch 8GB DDR 256GB SSD Portable Laptop,Expandable to 1TB Pentium Quad-core CPU up to 2.64 GHz 9000mAh Battery Mini HDMI Interface USB3.0 Interface Dual-Band WiFi Webcam Slim laptops",N/A,4.2 out of 5 stars,5,Check Product Page,https://m.media-amazon.com/images/I/71SWGBdy56L._AC_UY218_.jpg
"HP 17 Laptop, 17.3"" HD+ Touchscreen Display, 12th Gen Intel Core i7-1255U, 64GB RAM, 2TB SSD, Webcam, HDMI, SuperSpeed USB Ports, Wi-Fi 6, Windows 11 Home, Silver",N/A,4.2 out of 5 stars,714,Check Product Page,https://m.media-amazon.com/images/I/71CGrFl8cjL._AC_UY218_.jpg
"Lenovo IdeaPad 3i Chromebook, 15.6” FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue",N/A,4.3 out of 5 stars,806,Check Product Page,https://m.media-amazon.com/images/I/71bwzCMcQvL._AC_UY218_.jpg
"2025 Laptop,17.3-Inch FHD Display Laptop with Quad Core-12th Alder Lake N97(Up to 3.6GHz), 16GB RAM 512GB ROM Traditional Laptop Computer, 6000Mah Battery,Silver",N/A,5.0 out of 5 stars,9,Check Product Page,https://m.media-amazon.com/images/I/71kJNDMwYML._AC_UY218_.jpg
"ASUS ROG Strix G16 Gaming Laptop, 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74","1,369.",4.4 out of 5 stars,"1,952",Check Product Page,https://m.media-amazon.com/images/I/81GrCeuCzxL._AC_UY218_.jpg
"NIMO 15.6 IPS FHD-Laptop, 16GB RAM 1TB SSD Intel Pentium Quad Core N100, Computer with Backlit Keyboard Fingerprint (Beat to i3-1115G4 Up to 3.4GHz) Laptops for Student, Win 11 Rose Gold",N/A,4.5 out of 5 stars,293,Check Product Page,https://m.media-amazon.com/images/I/71VvzfO4neL._AC_UY218_.jpg
"2025 AMD Laptop, 16.0inch Laptop Computer with AMD Ryzen 7 5700U(8C/16T, Up to 4.3GHz), 16GB RAM 512GB NVMe SSD Windows 11 Laptop, Radeon RX Vega 8 Graphics,WiFi 6, Backlit KB,53Wh Battery,Gray",N/A,4.1 out of 5 stars,85,Check Product Page,https://m.media-amazon.com/images/I/71yHZEnLNmL._AC_UY218_.jpg
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Gold",N/A,4.2 out of 5 stars,"2,769",Check Product Page,https://m.media-amazon.com/images/I/61QuxlKVZbL._AC_UY218_.jpg
"HP 17 Business Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Pro, Silver",N/A,4.2 out of 5 stars,"2,150",Check Product Page,https://m.media-amazon.com/images/I/61TGRBGTNzL._AC_UY218_.jpg
"Lenovo 2024 IdeaPad 1 Gen 7 Laptop, 15.6"" FHD Touchscreen, Intel Core i3-1215U, 16GB RAM, 1TB SSD, SD Card Reader, HDMI, Webcam, Wi-Fi 6, Windows 11 Home, Grey",N/A,4.5 out of 5 stars,101,Check Product Page,https://m.media-amazon.com/images/I/618D46krKZL._AC_UY218_.jpg
"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 6, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Silver",N/A,4.3 out of 5 stars,"1,093",Check Product Page,https://m.media-amazon.com/images/I/713XTyObMWL._AC_UY218_.jpg
"jumper Laptop, 12GB RAM 640GB ROM, Office 365-1 Year 5305U Processor, 15.6 Inch Computer, FHD IPS Screen, 38Wh Battery, 2 Stereo Speakers, USB3.0 * 2, HDMI.",N/A,4.6 out of 5 stars,56,Check Product Page,https://m.media-amazon.com/images/I/81FQFt8LKTL._AC_UY218_.jpg
"jumper 2 in 1 Laptop, 16 inch Convertible Laptop Computer with IPS FHD 360 Degree Touchscreen, 640GB Storage, 16GB RAM, Fingerprint Reader, Backlit Keyboard, Celeron N5095, 53.2WH, WiFi 6",N/A,4.4 out of 5 stars,100,Check Product Page,https://m.media-amazon.com/images/I/71SEvE6m1kL._AC_UY218_.jpg
"ASUS 17.3"" Vivobook, Intel Core i3-1215U 6-core Processor (Beat i7-1165G7), 40GB RAM, 1TB SSD, FHD IPS Display, Intel UHD Graphics, USB-C, HDMI, Wi-Fi 6E, Windows 11 Pro, WOWPC Recovery USB",N/A,4.3 out of 5 stars,26,Check Product Page,https://m.media-amazon.com/images/I/71Z-hOiOHoL._AC_UY218_.jpg
"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",N/A,4.0 out of 5 stars,"2,455",Check Product Page,https://m.media-amazon.com/images/I/81divYKpeTL._AC_UY218_.jpg
"Lenovo Gen 12 ThinkPad X1 Carbon Laptop with Intel Ultra 7 165U vPro Processor, 14"" WUXGA 100% sRGB Touchscreen, 32GB 6400MHz RAM, 1TB Gen4 Performance SSD, FHD+ IR+ RGB Camera, and Windows 11 Pro",N/A,4.6 out of 5 stars,61,Check Product Page,https://m.media-amazon.com/images/I/61GSvJjxBuL._AC_UY218_.jpg
"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",N/A,4.3 out of 5 stars,439,Check Product Page,https://m.media-amazon.com/images/I/71gbrvRJI-L._AC_UY218_.jpg
